course_id,course_title,url,platform,subject,level,num_subscribers,num_reviews,rating,num_lectures,content_duration,instructor,language,tags,course_type,learning_path,playlist_id,skill_level_score,popularity_score,last_updated
CRS_0001,Python for Everybody Specialization,https://www.coursera.org/specializations/python,Coursera,Python Programming,Beginner,1200000,320000,4.8,96,34,Charles Severance,English,"python,beginner,data structures,web scraping,databases",Video,Python Mastery Path,PL_011,1,0.4911,2024
CRS_0002,The Complete Python Bootcamp From Zero to Hero,https://www.udemy.com/course/complete-python-bootcamp/,Udemy,Python Programming,Beginner,1800000,480000,4.6,155,22,Jose Portilla,English,"python,oop,decorators,generators,scripting",Video,Python Mastery Path,PL_011,1,0.5767,2024
CRS_0003,Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,Coursera,Machine Learning,Beginner,900000,180000,4.9,95,95,Andrew Ng,English,"supervised learning,regression,classification,neural networks,recommender",Video,ML Engineer Path,PL_009,1,0.4001,2024
CRS_0004,Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Coursera,Deep Learning,Intermediate,850000,175000,4.9,120,130,Andrew Ng,English,"neural networks,backprop,CNN,RNN,hyperparameter tuning",Video,ML Engineer Path,PL_009,2,0.393,2024
CRS_0005,Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Coursera,Natural Language Processing,Intermediate,400000,65000,4.8,120,80,Younes Bensouda Mourri,English,"nlp,transformers,attention,sentiment,named entity recognition",Video,NLP & LLM Engineer Path,PL_010,2,0.2368,2024
CRS_0006,IBM Data Science Professional Certificate,https://www.coursera.org/professional-certificates/ibm-data-science,Coursera,Data Science,Beginner,700000,135000,4.6,200,130,IBM Team,English,"python,sql,visualization,ml,capstone",Video,Data Scientist Path,PL_004,1,0.2316,2024
CRS_0007,The Complete SQL Bootcamp - Go from Zero to Hero,https://www.udemy.com/course/the-complete-sql-bootcamp/,Udemy,SQL & Databases,Beginner,600000,120000,4.7,100,9,Jose Portilla,English,"sql,postgresql,joins,subqueries,window functions",Video,Data Engineer Path,PL_003,1,0.2534,2024
CRS_0008,Data Structures Easy to Advanced - Full Course,https://www.youtube.com/watch?v=RBSGKlAvoiM,YouTube,Data Structures & Algorithms,Beginner,6500000,80000,4.8,1,8,freeCodeCamp,English,"arrays,linked lists,trees,graphs,hash tables",Video,Software Engineer Path,PL_013,1,0.6243,2024
CRS_0009,The Web Developer Bootcamp 2024,https://www.udemy.com/course/the-web-developer-bootcamp/,Udemy,Web Development,Beginner,850000,180000,4.7,490,74,Colt Steele,English,"html,css,javascript,node,express,mongodb,bootstrap",Video,Full-Stack Developer Path,PL_006,1,0.317,2024
CRS_0010,The Complete JavaScript Course 2024,https://www.udemy.com/course/the-complete-javascript-course/,Udemy,JavaScript,Beginner,900000,200000,4.7,320,69,Jonas Schmedtmann,English,"javascript,es6,dom,async,closures,oop,promises",Video,Full-Stack Developer Path,PL_006,1,0.3362,2024
